symbol,name,sector
UHS,Universal Health Services,Health Care
INCY,Incyte,Health Care
GEHC,GE HealthCare,Health Care
SOLV,Solventum,Health Care
HSIC,Henry Schein,Health Care
AMZN,Amazon,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
MCD,McDonalds,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
LOW,Lowes,Consumer Discretionary
TJX,TJX Companies,Consumer Discretionary
SBUX,Starbucks,Consumer Discretionary
NKE,Nike,Consumer Discretionary
ORLY,OReilly Automotive,Consumer Discretionary
AZO,AutoZone,Consumer Discretionary
CMG,Chipotle Mexican Grill,Consumer Discretionary
MAR,Marriott International,Consumer Discretionary
HLT,Hilton Worldwide,Consumer Discretionary
GM,General Motors,Consumer Discretionary
F,Ford Motor,Consumer Discretionary
ROST,Ross Stores,Consumer Discretionary
YUM,Yum Brands,Consumer Discretionary
DHI,DR Horton,Consumer Discretionary
LEN,Lennar,Consumer Discretionary
PHM,PulteGroup,Consumer Discretionary
NVR,NVR,Consumer Discretionary
EBAY,eBay,Consumer Discretionary
GRMN,Garmin,Consumer Discretionary
DECK,Deckers Outdoor,Consumer Discretionary
LULU,Lululemon Athletica,Consumer Discretionary
RCL,Royal Caribbean,Consumer Discretionary
CCL,Carnival,Consumer Discretionary
NCLH,Norwegian Cruise Line,Consumer Discretionary
EXPE,Expedia Group,Consumer Discretionary
ABNB,Airbnb,Consumer Discretionary
DRI,Darden Restaurants,Consumer Discretionary
TSCO,Tractor Supply,Consumer Discretionary
ULTA,Ulta Beauty,Consumer Discretionary
BBY,Best Buy,Consumer Discretionary
POOL,Pool Corporation,Consumer Discretionary
KMX,CarMax,Consumer Discretionary
LVS,Las Vegas Sands,Consumer Discretionary
WYNN,Wynn Resorts,Consumer Discretionary
MGM,MGM Resorts,Consumer Discretionary
CZR,Caesars Entertainment,Consumer Discretionary
DPZ,Dominos Pizza,Consumer Discretionary
WSM,Williams-Sonoma,Consumer Discretionary
TPR,Tapestry,Consumer Discretionary
RL,Ralph Lauren,Consumer Discretionary
HAS,Hasbro,Consumer Discretionary
MHK,Mohawk Industries,Consumer Discretionary
APTV,Aptiv,Consumer Discretionary
LKQ,LKQ,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
DASH,DoorDash,Consumer Discretionary
PG,Procter & Gamble,Consumer Staples
COST,Costco Wholesale,Consumer Staples
WMT,Walmart,Consumer Staples
KO,Coca-Cola,Consumer Staples
PEP,PepsiCo,Consumer Staples
PM,Philip Morris International,Consumer Staples
MO,Altria Group,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
CL,Colgate-Palmolive,Consumer Staples
TGT,Target,Consumer Staples
KMB,Kimberly-Clark,Consumer Staples
GIS,General Mills,Consumer Staples
SYY,Sysco,Consumer Staples
KDP,Keurig Dr Pepper,Consumer Staples
KHC,Kraft Heinz,Consumer Staples
STZ,Constellation Brands,Consumer Staples
HSY,Hershey,Consumer Staples
CHD,Church & Dwight,Consumer Staples
CLX,Clorox,Consumer Staples
MKC,McCormick,Consumer Staples
CAG,Conagra Brands,Consumer Staples
CPB,Campbells,Consumer Staples
HRL,Hormel Foods,Consumer Staples
SJM,JM Smucker,Consumer Staples
TSN,Tyson Foods,Consumer Staples
LW,Lamb Weston,Consumer Staples
BG,Bunge,Consumer Staples
ADM,Archer Daniels Midland,Consumer Staples
MNST,Monster Beverage,Consumer Staples
KVUE,Kenvue,Consumer Staples
EL,Estee Lauder,Consumer Staples
DG,Dollar General,Consumer Staples
DLTR,Dollar Tree,Consumer Staples
KR,Kroger,Consumer Staples
BF-B,Brown-Forman Class B,Consumer Staples
TAP,Molson Coors,Consumer Staples
GE,GE Aerospace,Industrials
CAT,Caterpillar,Industrials
RTX,RTX,Industrials
UNP,Union Pacific,Industrials
HON,Honeywell International,Industrials
ETN,Eaton,Industrials
BA,Boeing,Industrials
DE,Deere,Industrials
LMT,Lockheed Martin,Industrials
UPS,United Parcel Service,Industrials
ADP,Automatic Data Processing,Industrials
PH,Parker Hannifin,Industrials
TT,Trane Technologies,Industrials
GD,General Dynamics,Industrials
NOC,Northrop Grumman,Industrials
ITW,Illinois Tool Works,Industrials
EMR,Emerson Electric,Industrials
CSX,CSX,Industrials
NSC,Norfolk Southern,Industrials
FDX,FedEx,Industrials
WM,Waste Management,Industrials
RSG,Republic Services,Industrials
PCAR,PACCAR,Industrials
JCI,Johnson Controls,Industrials
CMI,Cummins,Industrials
GWW,Grainger,Industrials
FAST,Fastenal,Industrials
URI,United Rentals,Industrials
PAYX,Paychex,Industrials
ODFL,Old Dominion Freight Line,Industrials
VRSK,Verisk Analytics,Industrials
EFX,Equifax,Industrials
AME,AMETEK,Industrials
ROK,Rockwell Automation,Industrials
OTIS,Otis Worldwide,Industrials
CARR,Carrier Global,Industrials
XYL,Xylem,Industrials
DOV,Dover,Industrials
FTV,Fortive,Industrials
HUBB,Hubbell,Industrials
LDOS,Leidos,Industrials
LHX,L3Harris Technologies,Industrials
TXT,Textron,Industrials
HWM,Howmet Aerospace,Industrials
TDG,TransDigm Group,Industrials
AXON,Axon Enterprise,Industrials
IR,Ingersoll Rand,Industrials
PNR,Pentair,Industrials
SWK,Stanley Black & Decker,Industrials
MAS,Masco,Industrials
AOS,A O Smith,Industrials
ALLE,Allegion,Industrials
BLDR,Builders FirstSource,Industrials
PWR,Quanta Services,Industrials
EME,EMCOR Group,Industrials
J,Jacobs Solutions,Industrials
EXPD,Expeditors International,Industrials
CHRW,C H Robinson,Industrials
JBHT,J B Hunt Transport,Industrials
UAL,United Airlines,Industrials
DAL,Delta Air Lines,Industrials
LUV,Southwest Airlines,Industrials
UBER,Uber Technologies,Industrials
GNRC,Generac,Industrials
NDSN,Nordson,Industrials
IEX,IDEX,Industrials
CPRT,Copart,Industrials
CTAS,Cintas,Industrials
ROL,Rollins,Industrials
PAYC,Paycom Software,Industrials
BR,Broadridge Financial Solutions,Industrials
GEV,GE Vernova,Industrials
VLTO,Veralto,Industrials
WAB,Wabtec,Industrials
HII,Huntington Ingalls Industries,Industrials
SNA,Snap-on,Industrials
MMM,3M,Industrials
HEI,HEICO,Industrials
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
EOG,EOG Resources,Energy
SLB,SLB,Energy
MPC,Marathon Petroleum,Energy
PSX,Phillips 66,Energy
VLO,Valero Energy,Energy
WMB,Williams Companies,Energy
OKE,ONEOK,Energy
KMI,Kinder Morgan,Energy
OXY,Occidental Petroleum,Energy
FANG,Diamondback Energy,Energy
DVN,Devon Energy,Energy
HAL,Halliburton,Energy
BKR,Baker Hughes,Energy
CTRA,Coterra Energy,Energy
APA,APA,Energy
EQT,EQT,Energy
TRGP,Targa Resources,Energy
TPL,Texas Pacific Land,Energy
EXE,Expand Energy,Energy
LIN,Linde,Materials
APD,Air Products,Materials
SHW,Sherwin-Williams,Materials
ECL,Ecolab,Materials
FCX,Freeport-McMoRan,Materials
NEM,Newmont,Materials
NUE,Nucor,Materials
DOW,Dow,Materials
DD,DuPont,Materials
PPG,PPG Industries,Materials
LYB,LyondellBasell,Materials
MLM,Martin Marietta Materials,Materials
VMC,Vulcan Materials,Materials
CF,CF Industries,Materials
MOS,Mosaic,Materials
ALB,Albemarle,Materials
CE,Celanese,Materials
EMN,Eastman Chemical,Materials
IFF,International Flavors & Fragrances,Materials
AVY,Avery Dennison,Materials
PKG,Packaging Corporation of America,Materials
IP,International Paper,Materials
SW,Smurfit Westrock,Materials
AMCR,Amcor,Materials
BALL,Ball,Materials
STLD,Steel Dynamics,Materials
PLD,Prologis,Real Estate
AMT,American Tower,Real Estate
EQIX,Equinix,Real Estate
WELL,Welltower,Real Estate
SPG,Simon Property Group,Real Estate
PSA,Public Storage,Real Estate
O,Realty Income,Real Estate
DLR,Digital Realty Trust,Real Estate
CCI,Crown Castle,Real Estate
EXR,Extra Space Storage,Real Estate
AVB,AvalonBay Communities,Real Estate
VICI,VICI Properties,Real Estate
EQR,Equity Residential,Real Estate
SBAC,SBA Communications,Real Estate
WY,Weyerhaeuser,Real Estate
INVH,Invitation Homes,Real Estate
MAA,Mid-America Apartment,Real Estate
ESS,Essex Property Trust,Real Estate
KIM,Kimco Realty,Real Estate
ARE,Alexandria Real Estate,Real Estate
DOC,Healthpeak Properties,Real Estate
UDR,UDR,Real Estate
CPT,Camden Property Trust,Real Estate
HST,Host Hotels & Resorts,Real Estate
REG,Regency Centers,Real Estate
BXP,BXP,Real Estate
FRT,Federal Realty Investment Trust,Real Estate
VTR,Ventas,Real Estate
IRM,Iron Mountain,Real Estate
CSGP,CoStar Group,Real Estate
CBRE,CBRE Group,Real Estate
NEE,NextEra Energy,Utilities
SO,Southern Company,Utilities
DUK,Duke Energy,Utilities
CEG,Constellation Energy,Utilities
SRE,Sempra,Utilities
AEP,American Electric Power,Utilities
D,Dominion Energy,Utilities
PCG,PG&E,Utilities
EXC,Exelon,Utilities
XEL,Xcel Energy,Utilities
ED,Consolidated Edison,Utilities
PEG,Public Service Enterprise Group,Utilities
WEC,WEC Energy Group,Utilities
AWK,American Water Works,Utilities
DTE,DTE Energy,Utilities
ES,Eversource Energy,Utilities
ETR,Entergy,Utilities
FE,FirstEnergy,Utilities
AEE,Ameren,Utilities
PPL,PPL,Utilities
CMS,CMS Energy,Utilities
CNP,CenterPoint Energy,Utilities
ATO,Atmos Energy,Utilities
NI,NiSource,Utilities
LNT,Alliant Energy,Utilities
EVRG,Evergy,Utilities
AES,AES,Utilities
NRG,NRG Energy,Utilities
PNW,Pinnacle West Capital,Utilities
VST,Vistra,Utilities
